name,time/op (ns/op),range
Sequential/4194304_0-8,8.68323E+08,5%
Parallel/4194304_1-8,2.68031E+09,33%
Parallel/4194304_2-8,1.69676E+09,16%
Parallel/4194304_4-8,1.03332E+09,18%
Parallel/4194304_8-8,7.05259E+08,2%
Parallel/4194304_16-8,7.59623E+08,56%
Parallel/4194304_32-8,5.69687E+08,12%
Parallel/4194304_64-8,5.75351E+08,3%
Parallel/4194304_128-8,4.92457E+08,15%
Parallel/4194304_256-8,4.61698E+08,4%
Parallel/4194304_512-8,4.66239E+08,6%
Parallel/4194304_1024-8,4.47645E+08,3%
Parallel/4194304_2048-8,4.67396E+08,8%
Parallel/4194304_4096-8,4.58233E+08,3%
Parallel/4194304_8192-8,4.61914E+08,4%
Parallel/4194304_16384-8,4.46383E+08,5%
